date,description,Train_Data_Length,Val_Data_Length,Test_Data_Length,loss,fp,fn,acc,EPOCHS,BATCH_SIZE,PREPREDICTION_LENGTH,OFFSET,POSITVE_INTERSECT_SIZE,WINDOW_SIZE,POSTIVE_EXTRACT_INTERVAL,POSITIVE_EXRTACT_END_OFFSET,CHANNELS,Train_patients,Val_patient,Test_patient
22.01.2022 17:40,50/50 advanced,624.0,24.0,20.0,0.671,6.0,1.0,0.65,50.0,64.0,10.0,1000.0,100.0,35.0,25.0,30.0,EDA TEMP,"['MSEL_00172', 'MSEL_00501', 'MSEL_01575', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],['MSEL_01110-ICU']
22.01.2022 17:41,50/50 advanced,626.0,24.0,20.0,1.127,7.0,2.0,0.55,50.0,64.0,10.0,1000.0,100.0,35.0,25.0,30.0,BVP EDA TEMP,"['MSEL_00172', 'MSEL_00501', 'MSEL_01575', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],['MSEL_01110-ICU']
22.01.2022 17:42,50/50 advanced,626.0,24.0,20.0,0.971,4.0,3.0,0.65,50.0,64.0,10.0,1000.0,100.0,35.0,25.0,30.0,BVP TEMP,"['MSEL_00172', 'MSEL_00501', 'MSEL_01575', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],['MSEL_01110-ICU']
22.01.2022 17:43,50/50 advanced,626.0,24.0,20.0,1.272,5.0,5.0,0.5,50.0,64.0,10.0,1000.0,100.0,35.0,25.0,30.0,BVP EDA,"['MSEL_00172', 'MSEL_00501', 'MSEL_01575', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],['MSEL_01110-ICU']
22.01.2022 17:44,50/50 advanced,626.0,24.0,20.0,0.571,0.0,4.0,0.8,50.0,64.0,10.0,1000.0,100.0,35.0,25.0,30.0,BVP HR TEMP,"['MSEL_00172', 'MSEL_00501', 'MSEL_01575', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],['MSEL_01110-ICU']
22.01.2022 17:45,50/50 advanced,624.0,24.0,20.0,0.578,2.0,3.0,0.75,50.0,64.0,10.0,1000.0,100.0,35.0,25.0,30.0,EDA HR TEMP,"['MSEL_00172', 'MSEL_00501', 'MSEL_01575', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],['MSEL_01110-ICU']
22.01.2022 17:46,50/50 advanced,626.0,24.0,20.0,0.82,5.0,4.0,0.55,50.0,64.0,10.0,1000.0,100.0,35.0,25.0,30.0,BVP EDA HR TEMP,"['MSEL_00172', 'MSEL_00501', 'MSEL_01575', 'MSEL_01097', 'MSEL_01808', 'MSEL_01838', 'MSEL_01838', 'MSEL_01844']",['MSEL_01842'],['MSEL_01110-ICU']
